Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
1,0,0,0,0,0,0,0,0,0,0
2,0.0,8.33816116853462,6,0.0,4.31231585877249,16,0.0,5.4102736705257986,22,1.0
3,0.0,13.333180955310043,6,0.0,7.923039337434386,29,0.0,8.850492186213069,35,1.0
4,0.0,13.138072815848668,6,0.0,10.036002538688177,40,0.0,10.440620400926505,46,1.0
5,0.16666666666666666,10.93911192306262,6,0.0,9.82783606494416,52,0.017241379310344827,9.942795636473658,58,1.3333333333333333
6,0.14285714285714285,9.952121805107003,7,0.06349206349206349,10.266851314561228,63,0.07142857142857142,10.235378363615805,70,1.0
7,0.2857142857142857,8.216388150387818,7,0.18421052631578946,9.810953986650766,76,0.1927710843373494,9.676472530580396,83,1.2857142857142858
8,1.5714285714285714,6.2475798313555675,7,0.4418604651162791,9.846069121036995,86,0.5268817204301075,9.57521508848033,93,1.25
9,3.142857142857143,3.7671658023918333,7,0.9595959595959596,8.927569918722911,99,1.1037735849056605,8.586788514814256,106,1.7272727272727273
10,3.857142857142857,4.7852752154205636,7,1.4727272727272727,9.479570672584689,110,1.6153846153846154,9.198715388822732,117,1.8181818181818181
11,4.714285714285714,5.139687468040839,7,2.0569105691056913,8.378922454898836,123,2.2,8.204502109452637,130,1.5555555555555556
12,4.222222222222222,6.406306379657029,9,2.696296296296296,8.670064629096103,135,2.7916666666666665,8.528579738506162,144,2.066666666666667
13,4.777777777777778,7.781164989785531,9,3.4413793103448276,8.40809285669922,145,3.5194805194805197,8.371454215126343,154,2.357142857142857
14,4.3,7.208411445583931,10,4.0,8.785128835997252,156,4.018072289156627,8.69014586067115,166,2.3846153846153846
15,5.1,8.064848660743582,10,4.884146341463414,7.998452576647107,164,4.896551724137931,8.002268443549204,174,2.380952380952381
16,6.6,5.985303282621018,10,5.706214689265536,7.736505462039945,177,5.754010695187166,7.642858286669947,187,3.466666666666667
17,8.0,3.4029614127307646,10,6.73936170212766,7.590226123578127,188,6.803030303030303,7.378748107878766,198,3.3684210526315788
18,9.5,3.6236859607007963,10,7.673366834170854,7.335040212354362,199,7.760765550239235,7.157463453902037,209,3.8125
19,11.3,2.608832814620867,10,8.902439024390244,6.781052675423459,205,9.013953488372094,6.586995937711709,215,3.652173913043478
20,11.636363636363637,4.736718421612147,11,10.204651162790698,6.411834441989298,215,10.274336283185841,6.330302246307224,226,4.045454545454546
21,13.090909090909092,6.1367517567363485,11,11.457399103139014,6.078286928381871,223,11.534188034188034,6.081035275013919,234,3.64
22,13.25,6.591228521117848,12,12.530172413793103,6.318960326468697,232,12.565573770491802,6.332350565549804,244,4.1
23,14.166666666666666,6.233417667027607,12,13.624489795918368,6.05693780445804,245,13.649805447470817,6.0651781093251,257,3.6551724137931036
